Review Sentence,Aspect term,polarity,from,to,Anger,Disgust,Fear,Joy,Sadness,Surprise,Emotion Class,emotion context words
But the staff was so horrible to us.,staff,negative,8,13,4,1,1,0,3,1,Anger,horrible
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive,57,61,0,0,0,2,0,0,Joy,which was above average
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive,4,8,0,0,0,4,0,0,Joy," uniformly exceptional, very capable proudly"
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,positive,55,62,0,0,0,4,0,0,Joy,uniformly exceptional very capableproudly
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,neutral,141,145,0,0,0,4,0,0,Joy,uniformly exceptionalvery capableproudly
"Not only was the food outstanding, but the little 'perks' were great.",food,positive,17,21,0,0,0,3,0,0,Joy,outstandinggreat.
"Not only was the food outstanding, but the little 'perks' were great.",perks,positive,51,56,0,0,0,3,0,1,Joy,outstandinggreat.
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,positive,27,62,0,0,0,3,0,0,Joy,favoritekind enough
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,positive,76,83,0,0,0,3,0,0,Joy,favorite kind enough
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,neutral,152,157,0,0,0,3,0,0,Joy,favorite kind enough
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,neutral,113,117,0,0,0,3,0,0,Joy,favorite kind enough
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,positive,4,10,0,0,0,4,0,1,Joy,outstanding taste
Nevertheless the food itself is pretty good.,food,positive,17,21,0,0,0,4,0,0,Joy,pretty good
